title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
My Favorite Martian,Walt Disney Pictures,United States,English,93,65000000,36800000,12/02/1999,5.1,33,12%,Donald Petrie,"['Jerry Leider', 'Robert Shapiro', 'Marc Toberoff']",My Favorite Martian created by John L. Greene,"['Jeff Daniels', 'Christopher Lloyd', 'Elizabeth Hurley', 'Daryl Hannah', 'Wallace Shawn', 'Christine Ebersole', 'Ray Walston']","['John Debney', 'Danny Elfman']",Buena Vista Pictures,Thomas E. Ackerman,Malcolm Campbell,
Doug's 1st Movie,"['Walt Disney Pictures', 'Jumbo Pictures', 'Walt Disney Television Animation', 'Plus One Animation']",United States,English,83,5000000,19400000,26/03/1999,5,N/A,26%,Maurice Joyce,"['David Campbell', 'Melanie Grisanti', 'Jim Jinkins', 'Bruce Knapp', 'Jack Spillum']","['Doug', 'by Jim Jinkins']","['Tom McHugh', 'Fred Newman', 'Chris Phillips', 'Constance Shulman', 'Frank Welker', 'Doug Preis', 'Guy Hadley', 'Alice Playten', 'Doris Belack']",Mark Watters,Buena Vista Pictures,,"['Alysha Cohen', 'Christopher Gee']",Ken Scarborough
Endurance,Walt Disney Pictures,"['United States', 'United Kingdom', 'Germany']",English,83,,,14/05/1999,7.4,N/A,100%,"['Leslie Woodhead', 'Bud Greenspan']","['Terrence Malick', 'Max Palevsky', 'Edward R. Pressman']",,"['Haile Gebrselassie', 'Shawananness Gebrselassie', 'Yonas Zergaw', 'Tedesse Haile', 'Bekele Gebrselassie', 'Alem Tellahun']","['John Powell', 'Hans Zimmer']",Buena Vista Pictures,Ivan Strasburg,"['Saar Klein', 'Oral Norrie Ottey']",
Tarzan,,United States,English,88,130000000,448200000,12/06/1999,7.3,79,89%,"['Kevin Lima', 'Chris Buck']",Bonnie Arnold,"['Tarzan of the Apes', 'by', 'Edgar Rice Burroughs']","['Tony Goldwyn', 'Minnie Driver', 'Glenn Close', 'Alex D. Linz', ""Rosie O'Donnell"", 'Brian Blessed', 'Nigel Hawthorne', 'Lance Henriksen', 'Wayne Knight', 'Taylor Dempsey']",Mark Mancina,Buena Vista Pictures,,Gregory Perler,"['Tab Murphy', 'Bob Tzudiker', 'Noni White']"
Inspector Gadget,,United States,English,78,90000000,134400000,23/07/1999,4.2,36,21%,David Kellogg,"['Roger Birnbaum', 'Andy Heyward', 'Jordan Kerner']","['Inspector Gadget', 'by', 'Bruno Bianchi', 'Jean Chalopin', 'Andy Heyward']","['Matthew Broderick', 'Rupert Everett', 'Joely Fisher', 'Michelle Trachtenberg', 'Mike Hagerty', 'Andy Dick', 'Cheri Oteri', 'Dabney Coleman']",John Debney,Buena Vista Pictures Distribution,Adam Greenberg,"['Alan Cody', 'Thom Noble']","['Kerry Ehrin', 'Zak Penn']"
The Straight Story,"['Asymmetrical Productions', 'Canal+', 'FilmFour Productions', 'Ciby 2000', 'Le Studio Canal+']","['United States', 'United Kingdom', 'France']",English,112,10000000,6200000,,8,86,95%,David Lynch,"['Mary Sweeney', 'Neal Edelstein', 'Alain Sarde']",,"['Richard Farnsworth', 'Sissy Spacek', 'Harry Dean Stanton']",Angelo Badalamenti,"['Buena Vista Pictures', '(United States)', 'FilmFour Distributors (United Kingdom)', 'Bac Films', '(France)']",Freddie Francis,Mary Sweeney,
Toy Story 2,,United States,English,92,90000000,497400000,13/11/1999,7.9,88,100%,John Lasseter,"['Helene Plotkin', 'Karen Robert Jackson']",,"['Tom Hanks', 'Tim Allen']",Randy Newman,Buena Vista Pictures Distribution,Sharon Calahan,"['Edie Bleiman', 'David Ian Salter', 'Lee Unkrich']","['Andrew Stanton', 'Rita Hsiao', 'Doug Chamberlin', 'Chris Webb']"
Fantasia 2000,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,74,85000000,90900000,16/12/1999,7.2,59,81%,"['Don Hahn', 'Pixote Hunt', 'Hendel Butoy', 'Eric Goldberg', 'James Algar', 'Francis Glebas', 'Paul and GaÃ«tan Brizzi']",Donald W. Ernst,,"['James Levine', 'Steve Martin', 'Itzhak Perlman', 'Quincy Jones', 'Bette Midler', 'James Earl Jones', 'Penn & Teller', 'Angela Lansbury']",See program,Buena Vista Pictures,Tim Suhrstedt,"['Jessica Ambinder-Rojas', 'Lois Freeman-Fox']",
The Tigger Movie,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Walt Disney Animation Japan']",United States,English,77,15000000,96200000,11/02/2000,6.3,53,62%,"['Jun Falkenstein', 'Andrew Stanton']",Cheryl Abood,"['Characters created', 'by', 'A. A. Milne']","['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'John Fiedler', 'Peter Cullen', 'Andre Stojka', 'Kath Soucie', 'Tom Attenborough', 'John Hurt']",Harry Gregson-Williams,Buena Vista Pictures,,"['Makoto Arai', 'Robert Fisher, Jr.']",Jun Falkenstein
Dinosaur,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'The Secret Lab']",United States,English,82,127500000,349800000,19/05/2000,6.5,56,64%,"['Ralph Zondag', 'Eric Leighton']",Pam Marsden,,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere', 'Samuel E. Wright', 'Julianna Margulies', 'Peter Siragusa', 'Joan Plowright', 'Della Reese']",James Newton Howard,Buena Vista Pictures,"['David Hardberger', 'S. Douglas Smith']",H. Lee Peterson,"['John Harrison', 'Robert Nelson Jacobs']"
The Kid,Walt Disney Pictures,United States,English,104,65000000,110300000,07/07/2000,8.3,N/A,100%,Jon Turteltaub,"['Hunt Lowry', 'Arnold Rifkin', 'Christina Steinberg', 'Jon Turteltaub', 'David Willis']",,"['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer', 'Lily Tomlin', 'Chi McBride']","['Marc Shaiman', 'Jason White']",Buena Vista Pictures,Peter Menzies Jr.,"['Peter Honess', 'David Rennie']",
Remember The Titans,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Technical Black Films']",United States,English,113,30000000,136700000,29/09/2000,7.8,48,73%,Boaz Yakin,"['Jerry Bruckheimer', 'Chad Oman']",,"['Denzel Washington', 'Will Patton', 'Donald Faison', 'Nicole Ari Parker']",Trevor Rabin,Buena Vista Pictures,Philippe Rousselot,Michael Tronick,
102 Dalmatians,"['Walt Disney Pictures', 'Cruella Productions', 'Kanzaman S.A.M. Films']",United States,English,100,85000000,183600000,22/11/2000,4.9,35,31%,Kevin Lima,Edward S. Feldman,,"['Glenn Close', 'Ioan Gruffudd', 'Alice Evans', 'Tim McInnerny', 'GÃ©rard Depardieu']",David Newman,Buena Vista Pictures,Adrian Biddle,Gregory Perler,"['Kristen Buckley', 'Brian Regan', 'Bob Tzudiker', 'Noni White']"
The Emperor's New Groove,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,78,100000000,169300000,15/12/2000,7.4,70,85%,Mark Dindal,Randy Fullmer,"['Original story', 'by', 'Roger Allers', 'Matthew Jacobs']","['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton', 'Wendie Malick']",John Debney,Buena Vista Pictures,,Pamela Ziegenhagen-Shefland,David Reynolds
Recess: School's Out,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Walt Disney Television Animation Digital Production', 'Paul & Joe Productions', 'Sunwoo Animation Sunwoo Digital International']",United States,English,83,23000000,44500000,10/02/2001,6.6,43,60%,Chuck Sheetz,"['Joe Ansolabehere', 'Paul Germain', 'Toshio Suzuki', 'Stephen Swofford']","['Recess', 'by Paul Germain', 'Joe Ansolabehere']","['Andrew Lawrence', ""Rickey D'Shon Collins"", 'Jason Davis', 'Ashley Johnson', 'Courtland Mead', 'Pamela Adlon', 'Dabney Coleman', 'Melissa Joan Hart', 'April Winchell', 'Allyce Beasley', ""Ryan O'Donohue"", 'Peter MacNicol', 'Clancy Brown', 'Tony Jay', 'R. Lee Ermey', 'James Woods']",Denis M. Hannigan,Buena Vista Pictures,,Tony Mizgalski,Jonathan Greenberg
Atlantis: The Lost Empire,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,96,90,186100000,03/06/2001,6.9,52,49%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,,"['Michael J. Fox', 'James Garner', 'Cree Summer', 'Don Novello', 'Phil Morris', 'Claudia Christian', 'Jacqueline Obradors', 'Florence Stanley', 'David Ogden Stiers', 'John Mahoney', 'Jim Varney', 'Corey Burton', 'Leonard Nimoy']",James Newton Howard,Buena Vista Pictures,,Ellen Keneshea,Tab Murphy
The Princess Diaries,"['Walt Disney Pictures', 'BrownHouse Productions']",United States,English,115,26000000,165300000,03/08/2001,6.3,52,48%,Garry Marshall,"['Whitney Houston', 'Debra Martin Chase', 'Mario Iscovich']","['The Princess Diaries', 'by', 'Meg Cabot']","['Anne Hathaway', 'HÃ©ctor Elizondo', 'Heather Matarazzo', 'Mandy Moore', 'Caroline Goodall', 'Robert Schwartzman', 'Julie Andrews']",John Debney,Buena Vista Pictures,Karl Walter Lindenlaub,Bruce Green,Gina Wendkos
Max Keeble's Big Move,"['Walt Disney Pictures', 'Karz Entertainment']",United States,English,86,25000000,18600000,05/10/2001,5.4,40,29%,Tim Hill,Mike Karz,,"['Alex D. Linz', 'Larry Miller', 'Jamie Kennedy', 'Nora Dunn', 'Robert Carradine']",Michael Wandmacher,Buena Vista Pictures,Arthur Albert,"['Tony Lombardo', 'Peck Prior']","['Jonathan Bernstein', 'Mark Blackwell', 'James Greer']"
"Monsters, Inc.","['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,92,115000000,577400000,28/10/2001,8.1,79,96%,Pete Docter,Darla K. Anderson,,"['John Goodman', 'Billy Crystal', 'Steve Buscemi', 'James Coburn', 'Jennifer Tilly', 'Mary Gibbs']",Randy Newman,Buena Vista Pictures Distribution,,"['Robert Grahamjones', 'Jim Stewart']","['Andrew Stanton', 'Dan Gerson']"
Snow Dogs,"['Walt Disney Pictures', 'The Kerner Entertainment Company']",United States,English,99,33000000,115000000,18/01/2002,5.2,29,25%,Brian Levant,Jordan Kerner,"['Winterdance', 'by', 'Gary Paulsen']","['Cuba Gooding Jr.', 'James Coburn', 'SisqÃ³', 'Nichelle Nichols', 'Graham Greene']",John Debney,Buena Vista Pictures Distribution,Thomas E. Ackerman,Roger Bondelli,
Return to Never Land,,United States,English,73,20000000,115100000,10/02/2002,5.8,49,46%,Robin Budd,"['Christopher Chase', 'Michelle Pappalardo-Robinson', 'Dan Rounds']","['Characters created', 'by', 'J.M. Barrie']","['Blayne Weaver', 'Harriet Owen', 'Corey Burton', 'Jeff Bennett']","['Joel McNeely (Score)', 'They Might Be Giants (Songs)']",Buena Vista Pictures Distribution,,Antonio F. Rocco,Temple Mathews
The Rookie,Walt Disney Pictures,United States,English,128,22000000,80700000,29/03/2002,6.9,72,84%,John Lee Hancock,"['Mark Ciardi', 'Gordon Gray', 'Mark Johnson']",,"['Dennis Quaid', 'Rachel Griffiths', 'Jay Hernandez', 'Brian Cox']",Carter Burwell,Buena Vista Pictures,John Schwartzman,Eric L. Beason,
Lilo & Stitch,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,85,80000000,273100000,21/06/2002,7.2,73,86%,"['Chris Sanders', 'Dean DeBlois']",Clark Spencer,,"['Chris Sanders', 'Daveigh Chase', 'Tia Carrere', 'Ving Rhames', 'David Ogden Stiers', 'Kevin McDonald', 'Jason Scott Lee', 'Zoe Caldwell', 'Kevin Michael Richardson']",Alan Silvestri,Buena Vista Pictures,,Darren T. Holmes,"['Chris Sanders', 'Dean DeBlois']"
The Country Bears,Walt Disney Pictures,United States,English,88,35000000,18000000,21/07/2002,4.1,37,31%,Peter Hastings,"['Andrew Gunn', 'Jeffrey Chernov']",Walt Disney 's Country Bear Jamboree,"['Christopher Walken', 'Daryl ""Chill"" Mitchell', 'Diedrich Bader', 'Alex Rocco', 'Haley Joel Osment']",Christopher Young,Buena Vista Pictures,C. Mitchell Amundsen,"['George Bowers', 'Seth Flaum']",
Spirited Away,Studio Ghibli,Japan,Japanese,125,15,,20/07/2001,8.6,96,97%,Hayao Miyazaki,Toshio Suzuki,,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Takeshi Naito', 'Yasuko Sawaguchi', 'Tsunehiko KamijÅ', 'Takehiko Ono', 'Bunta Sugawara']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,
Tuck Everlasting,"['Walt Disney Pictures', 'Scholastic Studios']",United States,English,96,15000000,19300000,11/10/2002,6.6,66,60%,Jay Russell,"['Marc Abraham', 'Jane Startz', 'Thomas Bliss']","['Tuck Everlasting', 'by', 'Natalie Babbitt']","['Alexis Bledel', 'Ben Kingsley', 'Sissy Spacek', 'Amy Irving', 'Victor Garber', 'Jonathan Jackson', 'Scott Bairstow', 'William Hurt']",William Ross,Buena Vista Pictures,James L. Carter,Jay Cassidy,"['Jeffrey Lieber', 'James V. Hart']"
The Santa Clause 2,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']",United States,English,104,65000000,172900000,01/11/2002,5.6,48,56%,Michael Lembeck,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Characters created', 'by', 'Leo Benvenuti', 'Steve Rudnick']","['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'Elizabeth Mitchell', 'David Krumholtz', 'Eric Lloyd', 'Spencer Breslin']",George S. Clinton,Buena Vista Pictures Distribution,Adam Greenberg,David Finfer,
Treasure Planet,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,95,140000000,109600000,27/11/2002,7.2,60,69%,"['Ron Clements', 'John Musker']","['Ron Clements', 'John Musker', 'Roy Conli']","['Treasure Island', 'by', 'Robert Louis Stevenson']","['Joseph Gordon-Levitt', 'Brian Murray', 'Emma Thompson', 'David Hyde Pierce', 'Martin Short', 'Michael Wincott', 'Laurie Metcalf', 'Roscoe Lee Browne']",James Newton Howard,Buena Vista Pictures,,Michael Kelly,"['Ron Clements', 'John Musker', 'Rob Edwards']"
The Jungle Book 2,"['DisneyToon Studios', 'Walt Disney Pictures']","['United States', 'Australia']",English,72,20000000,135700000,14/02/2003,5.4,38,18%,Steve Trenbirth,"['Christopher Chase', 'Mary Thorne']",,"['Haley Joel Osment', 'John Goodman', 'Mae Whitman', 'Bob Joles', 'Tony Jay', 'Phil Collins', 'John Rhys-Davies', 'Jim Cummings']",Joel McNeely,Buena Vista Pictures,,"['Christopher K. Gee', 'Peter Lonsdale']",
Piglet's Big Movie,"['DisneyToon Studios', 'Walt Disney Pictures']",United States,English,75,46000000,62900000,16/03/2003,6.2,62,70%,Francis Glebas,Michelle Pappalardo-Robinson,"['Winnie the Pooh', 'and', 'The House at Pooh Corner', 'created', 'by', 'A. A. Milne']","['John Fiedler', 'Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'Peter Cullen', 'Kath Soucie', 'Andre Stojka', 'Tom Wheatley']","['Carl Johnson', 'Carly Simon']",Buena Vista Pictures,,Ivan Bilancio,"['Brian Hohlfeld', 'A. A. Milne']"
Ghosts of the Abyss,"['Walt Disney Pictures', 'Walden Media', 'Earthship Productions', 'Ascot Elite Entertainment Group', 'Golden Village', 'Telepool', 'UGC PH']",United States,English,61,13000000,28700000,31/03/2003,6.8,67,80%,James Cameron,"['John Bruno', 'James Cameron', 'Chuck Comisky', 'Janace Tashjian', 'Andrew Wight']",,"['Bill Paxton', 'James Cameron', 'Dr. John Broadwater', 'Dr. Lori Johnston']",Joel McNeely,Buena Vista Pictures,"['Vince Pace', 'D. J. Roller']","['David C. Cook', 'Ed W. Marsh', 'Sven Pape', 'John Refoua']",
Holes,"['Walt Disney Pictures', 'Walden Media', 'Phoenix Pictures', 'Chicago Pacific Entertainment']",United States,English,117,20000000,71400000,18/04/2003,7,71,78%,Andrew Davis,"['Andrew Davis', 'Lowell D. Blank', 'Mike Medavoy', 'Teresa Tucker-Davies']","['Holes', 'by Louis Sachar']","['Sigourney Weaver', 'Jon Voight', 'Patricia Arquette', 'Tim Blake Nelson', 'Shia LaBeouf']",Joel McNeely,Buena Vista Pictures,Stephen St. John,"['Thomas J. Nordberg', 'Jeffrey Wolf']",Louis Sachar
The Lizzie McGuire Movie,"['Walt Disney Pictures', 'Stan Rogow Productions']",United States,"['English', 'Italian']",94,17000000,55500000,02/05/2003,5.5,56,41%,Jim Fall,Stan Rogow,"['Lizzie McGuire', 'by', 'Terri Minsky']","['Hilary Duff', 'Adam Lamberg', 'Robert Carradine', 'Hallie Todd', 'Jake Thomas']",Cliff Eidelman,Buena Vista Pictures,Jerzy ZieliÅ„ski,Margie Goodspeed,
Finding Nemo,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,100,94000000,940300000,30/05/2003,8.1,90,99%,Andrew Stanton,Graham Walters,,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Thomas Newman,Buena Vista Pictures Distribution,"['Sharon Calahan', 'Jeremy Lasky']",David Ian Salter,"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']"
Pirates of the Caribbean: The Curse of the Black Pearl,,United States,English,143,140000000,654300000,28/06/2003,8,63,79%,Gore Verbinski,Jerry Bruckheimer,"['Pirates of the Caribbean', 'by', 'Walt Disney']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jonathan Pryce']",['Klaus Badelt'],Buena Vista Pictures Distribution,Dariusz Wolski,"['Craig Wood', 'Stephen Rivkin', 'Arthur Schmidt']","['Ted Elliott', 'Terry Rossio']"
Freaky Friday,"['Walt Disney Pictures', 'Gunn Films']",United States,English,97,26000000,160800000,04/08/2003,6.2,70,88%,Mark Waters,Andrew Gunn,"['Freaky Friday', 'by', 'Mary Rodgers']","['Jamie Lee Curtis', 'Lindsay Lohan', 'Harold Gould', 'Chad Michael Murray', 'Mark Harmon']",Rolfe Kent,Buena Vista Pictures,Oliver Wood,Bruce Green,"['Heather Hach', 'Leslie Dixon']"
Brother Bear,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,85,46000000,250400000,01/11/2003,6.8,48,37%,"['Aaron Blaise', 'Robert Walker']",Chuck Williams,,"['Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis', 'Dave Thomas', 'Jason Raize', 'D.B. Sweeney']","['Phil Collins', 'Mark Mancina']",Buena Vista Pictures,,Tim Mertens,"['Tab Murphy', 'Lorne Cameron', 'David Hoselton', 'Steve Bencich', 'Ron J. Friedman']"
The Haunted Mansion,Walt Disney Pictures,United States,English,86,90000000,182300000,26/11/2003,5,34,14%,Rob Minkoff,"['Andrew Gunn', 'Don Hahn']","['The Haunted Mansion', 'by', 'Walt Disney']","['Eddie Murphy', 'Terence Stamp', 'Wallace Shawn', 'Marsha Thomason', 'Jennifer Tilly']",Mark Mancina,Buena Vista Pictures,Remi Adefarasin,Priscilla Nedd-Friendly,
The Young Black Stallion,"['Walt Disney Pictures', 'The Kennedy/Marshall Company']",United States,English,50,,9638389,25/12/2003,5.6,51,45%,Simon Wincer,"['Fred Roos', 'Frank Marshall']","['Walter Farley', 'Steven Farley']","['Richard Romanus', 'Biana G. Tamimi', 'Patrick Elyas']",William Ross,Buena Vista Pictures,Reed Smoot,"['Bud Smith', 'Terry Blythe', 'M. Scott Smith']",Jeanne Rosenberg
Teacher's Pet,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Toon City Animation']",United States,English,74,10000000,6500000,16/01/2004,7.1,N/A,86%,Timothy BjÃ¶rklund,Stephen Swofford,"['Gary Baseman', 'Bill Steinkellner', 'Cheri Steinkellner']","['Nathan Lane', 'Shaun Fleming', 'Debra Jo Rupp', 'Kelsey Grammer', 'David Ogden Stiers', 'Jerry Stiller', 'Rosalyn Landor']",Stephen James Taylor,Buena Vista Pictures,,,"['Bill Steinkellner', 'Cheri Steinkellner']"
Miracle,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,136,28000000,64500000,06/02/2004,7.5,68,81%,Gavin O'Connor,"['Mark Ciardi', 'Gordon Gray', 'Ross Greenburg', 'Justis Greene', 'Jon Mone', ""Greg O'Connor""]",,"['Kurt Russell', 'Patricia Clarkson', 'Noah Emmerich']",Mark Isham,Buena Vista Pictures,Dan Stoloff,"['John Gilroy', 'Daric Loo']",
Confessions of a Teenage Drama Queen,Walt Disney Pictures,United States,English,89,15000000,33100000,20/02/2004,4.7,33,14%,Sara Sugarman,"['Robert Shapiro', 'Jerry Leider']","['Confessions of a Teenage Drama Queen', 'by', 'Dyan Sheldon']","['Lindsay Lohan', 'Adam Garcia', 'Glenne Headly', 'Alison Pill', 'Carol Kane', 'Megan Fox']",Mark Mothersbaugh,Buena Vista Pictures,Stephen H. Burum,Anita Brandt-Burgoyne,Gail Parent
Home on the Range,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,76,110000000,145500000,02/04/2004,5.4,50,53%,"['Will Finn', 'John Sanford']",Alice Dewey Goldstone,,"['Roseanne Barr', 'Judi Dench', 'Jennifer Tilly', 'Cuba Gooding Jr.', 'Randy Quaid', 'Steve Buscemi']",Alan Menken,Buena Vista Pictures,,H. Lee Peterson,
Sacred Planet,Walt Disney Pictures,"['Canada', 'Malaysia', 'United States']",English,40,,1108356,22/04/2004,6,53,,"['Jon Long', 'Hairul Salleh Askor']","['Jon Long', 'Karen Fernandez Long']",,"['Arapata McKay', 'Tsaan Ciqae', 'Mae Tui', 'Cy Peck Jr.', 'Mutang Urud']",,Buena Vista Pictures,William Reeve,Jon Long,
Around the World in 80 Days,"['Walt Disney Pictures', 'Walden Media', 'Spanknyce Films', 'Mostow/Lieberman Productions']",United Kingdom,"['English', 'French', 'Mandarin Chinese', 'Hindi']",120,110000000,72200000,13/06/2004,5.9,49,32%,Frank Coraci,"['Bill Badalato', 'Hal Lieberman']","['Around the World in Eighty Days', 'by', 'Jules Verne']","['Jackie Chan', 'Steve Coogan', 'CÃ©cile de France', 'Jim Broadbent', 'Karen Mok']","['Trevor Jones', 'David A. Stewart']",Buena Vista Pictures,Phil Meheux,Tom Lewis,"['David Titcher', 'David Benullo', 'David Goldstein']"
America's Heart and Soul,"['Walt Disney Pictures', 'Blacklight Films']",United States,English,84,,314402,02/07/2004,,,,Louis Schwartzberg,Louis Schwartzberg,,,Joel McNeely,Buena Vista Pictures,Louis Schwartzberg,"['Brian Funck', 'Tom McGah']",
The Princess Diaries 2: Royal Engagement,,United States,English,113,45000000,134700000,11/08/2004,5.8,43,26%,Garry Marshall,"['Whitney Houston', 'Debra Martin Chase']","['Characters', 'by', 'Meg Cabot']","['Anne Hathaway', 'Heather Matarazzo', 'John Rhys-Davies', 'HÃ©ctor Elizondo', 'Julie Andrews', 'Chris Pine', 'Raven-Symone']",John Debney,Buena Vista Pictures,Charles Minsky,Bruce Green,Shonda Rhimes
The Incredibles,,United States,English,115,92000000,633000000,27/10/2004,8,90,,Brad Bird,John Walker,,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee', 'Samuel L. Jackson', 'Elizabeth PeÃ±a']",Michael Giacchino,Buena Vista Pictures Distribution,"['Andrew Jimenez', 'Patrick Lin', 'Janet Lucroy']",Stephen Schaffer,
National Treasure,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,131,100000000,347500000,19/11/2004,6.9,39,46%,Jon Turteltaub,"['Jerry Bruckheimer', 'Jon Turteltaub']",,"['Nicolas Cage', 'Harvey Keitel', 'Jon Voight', 'Diane Kruger', 'Sean Bean', 'Justin Bartha', 'Christopher Plummer']",Trevor Rabin,Buena Vista Pictures,Caleb Deschanel,William Goldenberg,"['Jim Kouf', 'Cormac Wibberley', 'Marianne Wibberley']"
Aliens of the Deep,"['Walt Disney Pictures', 'Walden Media', 'Earthship Productions']",United States,English,100,,9000000,28/01/2005,6.4,71,84%,"['James Cameron', 'Steven Quale']","['James Cameron', 'Andrew Wight']",,"['Anatoly Sagalevich', 'Genya Chernaiev', 'Victor Nischeta', 'Pamela G. Conrad', 'Jim Childress', 'Dijanna Figueroa']",Jeehun Hwang,Buena Vista Pictures,"['James Cameron', 'Vince Pace', 'Ron Allum']","['Matthew Kregor', 'Fiona Wight']",
Pooh's Heffalump Movie,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,68,20000000,52900000,11/02/2005,6.4,64,80%,Frank Nissen,Jessica Koplos-Miller,Characters created by A. A. Milne,"['Jim Cummings', 'John Fiedler', 'Kath Soucie', 'Nikita Hopkins', 'Ken Sansom', 'Peter Cullen', 'Kyle Stanger', 'Brenda Blethyn']",Joel McNeely,Buena Vista Pictures,,,
The Pacifier,"['Walt Disney Pictures', 'Spyglass Entertainment']",United States,English,95,56000000,198600000,04/03/2005,5.6,30,21%,Adam Shankman,"['Roger Birnbaum', 'Gary Barber', 'Jonathan Glickman']",,"['Vin Diesel', 'Lauren Graham', 'Faith Ford', 'Brittany Snow', 'Max Thieriot', 'Carol Kane', 'Brad Garrett']",John Debney,Buena Vista Pictures,Peter James,Christopher Greenbury,
Ice Princess,"['Walt Disney Pictures', 'Bridget Johnson Films', 'On The Ice Productions']",United States,English,97,25000000,27600000,18/03/2005,6,55,52%,Tim Fywell,Bridget Johnson,,"['Joan Cusack', 'Kim Cattrall', 'Michelle Trachtenberg', 'Hayden Panettiere']",Christophe Beck,Buena Vista Pictures,David Hennings,Janice Hampton,Hadley Davis
Herbie: Fully Loaded,"['Walt Disney Pictures', 'Robert Simonds Productions']",United States,English,101,50000000,144100000,22/06/2005,4.8,47,40%,Angela Robinson,Robert Simonds,"['Characters', 'by Gordon Buford']","['Lindsay Lohan', 'Justin Long', 'Breckin Meyer', 'Matt Dillon', 'Michael Keaton']",Mark Mothersbaugh,Buena Vista Pictures,Greg Gardiner,Wendy Greene Bricmont,"['Thomas Lennon', 'Robert Ben Garant', 'Alfred Gough', 'Miles Millar']"
Howl's Moving Castle,Studio Ghibli,Japan,Japanese,119,,,05/09/2004,8.2,80,87%,Hayao Miyazaki,Toshio Suzuki,"[""Howl's Moving Castle"", 'by', 'Diana Wynne Jones']","['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,Hayao Miyazaki
Sky High,"['Walt Disney Pictures', 'Gunn Films']",United States,English,100,35000000,86400000,29/07/2005,6.2,62,73%,Mike Mitchell,Andrew Gunn,,"['Kelly Preston', 'Michael Angarano', 'Danielle Panabaker', 'Mary Elizabeth Winstead', 'Kurt Russell']",Michael Giacchino,Buena Vista Pictures,Shelly Johnson,Peter Amundson,
Valiant,"['Vanguard Animation', 'Ealing Studios', 'UK Film Council', 'Take Film Partnerships', 'Odyssey Entertainment']","['United Kingdom', 'United States']",English,76,35000000,61700000,25/03/2005,5.5,45,32%,Gary Chapman,"['John H. Williams', 'Barnaby Thompson (executive producer)']",,"['Ewan McGregor', 'Ricky Gervais', 'Tim Curry', 'Jim Broadbent', 'Hugh Laurie', 'John Cleese', 'John Hurt', 'Pip Torrens', 'Rik Mayall', 'Olivia Williams']",George Fenton,"['Entertainment Film Distributors (UK)', 'Buena Vista Pictures (US)']",,,"['Jordan Katz', 'George Webster', 'George Melrod']"
